characters,fa_length,fa_list
K03593,6,"['Actinomycetes', 'Bacteroidales', 'Campylobacterales', 'Pseudomonadota', 'Staphylococcus', 'T06584']"
K00656,10,"['Bacteroides', 'Bifidobacterium', 'Lachnospiraceae', 'T01461', 'T02133', 'T03770', 'T04453', 'T05143', 'T06584', 'T07267']"
K00381,2,"['Pseudomonadota', 'Staphylococcus']"
K00048,11,"['Bacteroides', 'Dorea', 'T01461', 'T02505', 'T03496', 'T04222', 'T04453', 'T05143', 'T06584', 'T06719', 'T07943']"
K01692,6,"['Burkholderiales', 'Micrococcales', 'T02545', 'T06554', 'T06794', 'T07354']"
K03562,2,"['Campylobacter', 'Pseudomonadota']"
K03652,10,"['Bacilli', 'Comamonadaceae', 'Micrococcales', 'Mycobacteriales', 'T02505', 'T02545', 'T04182', 'T04222', 'T06554', 'T08201']"
K03560,2,"['Pseudomonadota', 'T04453']"
K07399,6,"['Burkholderiales', 'Micrococcales', 'Mycobacteriales', 'T00964', 'T02545', 'T08201']"
K03641,6,"['Campylobacterales', 'Pseudomonadota', 'T00447', 'T01461', 'T04453', 'T06523']"
K00799,1,['Pseudomonadota']
K01679,11,"['Bacilli', 'Burkholderiales', 'Micrococcales', 'Mycobacteriales', 'T00964', 'T01461', 'T02545', 'T04182', 'T06085', 'T06554', 'T08780']"
K03324,14,"['Bacteroides', 'Comamonadaceae', 'Eubacteriales', 'T00577', 'T00964', 'T00984', 'T01461', 'T01485', 'T04453', 'T05738', 'T06085', 'T06554', 'T06584', 'T08201']"
K07456,6,"['Bacillota', 'Bacteroidales', 'Campylobacterales', 'T01461', 'T04453', 'T08201']"
K01556,6,"['Burkholderiales', 'T00447', 'T02545', 'T05201', 'T05843', 'T06085']"
K03183,9,"['Bacteroidales', 'Campylobacterales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T00984', 'T02545', 'T08201']"
K01938,11,"['Bacillota', 'Bacteroides', 'Bifidobacterium', 'Coriobacteriia', 'T00447', 'T01461', 'T01485', 'T04453', 'T05201', 'T06085', 'T07267']"
K16363,1,['Bacteroidales']
K03316,2,"['Gammaproteobacteria', 'T00925']"
K03308,14,"['Bacteroides', 'Campylobacterales', 'Eubacteriales', 'Gammaproteobacteria', 'Staphylococcus', 'T00701', 'T00964', 'T00984', 'T01461', 'T02133', 'T04453', 'T05843', 'T06584', 'T07354']"
K08300,2,"['Actinomycetes', 'Pseudomonadota']"
K05520,8,"['Burkholderiaceae', 'Gammaproteobacteria', 'Micrococcales', 'Mycobacteriales', 'Staphylococcus', 'T00964', 'T02545', 'T06085']"
K03116,11,"['Bacteroides', 'Campylobacterales', 'Coriobacteriia', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02133', 'T02545', 'T04453', 'T08201']"
K18707,10,"['Bacteroidales', 'Coriobacteriia', 'Eubacteriales', 'Staphylococcus', 'T00964', 'T01461', 'T04453', 'T06085', 'T06584', 'T08201']"
K00850,6,"['Bacillota', 'Bacteroidales', 'T01461', 'T03770', 'T04453', 'T08201']"
K04069,11,"['Bacteroides', 'Bifidobacterium', 'Campylobacter', 'Coriobacteriia', 'Lachnospiraceae', 'T01461', 'T02133', 'T03770', 'T04453', 'T06584', 'T07267']"
K08972,11,"['Bifidobacterium', 'Burkholderiales', 'Coriobacteriia', 'T00447', 'T00964', 'T02545', 'T05201', 'T05843', 'T06584', 'T06794', 'T07267']"
K08311,6,"['Campylobacterales', 'Comamonadaceae', 'Gammaproteobacteria', 'T00398', 'T00925', 'T06085']"
